Site_code,Mean_NDVI,WY
BAFB 3C,0.42089998722076400,2021
BR 13,0.5152999758720400,2021
BR 8,0.3952000141143800,2021
DC 1,0.8057000041008000,2022
DC 2,0.7633000016212460,2022
DC 13,0.6998000144958500,2022
DC 12,0.6836000084877010,2022
DC 11,0.6836000084877010,2022
DC 17,0.5697000026702880,2022
DC 3,0.7678999900817870,2022
DC 4,0.786899983882904,2022
DC 19,0.3370000123977660,2022
DC 5,0.6958000063896180,2022
NA,0.6728000044822690,2022
DC 6,0.6571000218391420,2022
DC 18,0.45410001277923600,2022
DC 7,0.5573999881744390,2022
DC 8,0.6177999973297120,2022
DC 15,0.6011000275611880,2022
DC 16,0.5855000019073490,2022
DC 9,0.6194999814033510,2022
DC 10,0.48590001463890100,2022
DC 14,0.41940000653266900,2022
BR 1,0.7340999841690060,2022
BR 2,0.4068000018596650,2022
BR 3,0.7681000232696530,2022
BR 4,0.6811000108718870,2022
BR 5,0.652999997138977,2022
BR 6,0.6625999808311460,2022
BR 7,0.5444999933242800,2022
BR 9,0.7304999828338620,2022
BR 11,0.5044999718666080,2022
BR 12,0.30799999833107000,2022
BAFB 1C,0.3750999867916110,2022
BAFB 2B,0.40540000796318100,2022
BAFB 3C,0.41999998688697800,2022
BR 13,0.49790000915527300,2022
BR 8,0.43700000643730200,2022
