Site_code,Mean_NDVI,WY
BAFB 2B,0.390899986,2021
BAFB 3C,0.4208999872,2021
BR 13,0.5152999759,2021
BR 8,0.3952000141,2021
DC 1,0.8057000041,2022
DC 2,0.7633000016,2022
DC 13,0.6998000145,2022
DC 12,0.6836000085,2022
DC 11,0.6836000085,2022
DC 17,0.5697000027,2022
DC 3,0.7678999901,2022
DC 4,0.7868999839,2022
DC 19,0.3370000124,2022
DC 5,0.6958000064,2022
NA,0.6728000045,2022
DC 6,0.6571000218,2022
DC 18,0.4541000128,2022
DC 7,0.5573999882,2022
DC 8,0.6177999973,2022
DC 15,0.6011000276,2022
DC 16,0.5855000019,2022
DC 9,0.6194999814,2022
DC 10,0.4859000146,2022
DC 14,0.4194000065,2022
BR 1,0.7340999842,2022
BR 2,0.4068000019,2022
BR 3,0.7681000233,2022
BR 4,0.6811000109,2022
BR 5,0.6529999971,2022
BR 6,0.6625999808,2022
BR 7,0.5444999933,2022
BR 9,0.7304999828,2022
BR 11,0.5044999719,2022
BR 12,0.3079999983,2022
BAFB 1C,0.3750999868,2022
BAFB 2B,0.405400008,2022
BAFB 3C,0.4199999869,2022
BR 13,0.4979000092,2022
BR 8,0.4370000064,2022
DC 1,0.8360999823,2023
DC 2,0.7961000204,2023
DC 13,0.8137000203,2023
DC 12,0.7242000103,2023
DC 11,0.6725000143,2023
DC 17,0.6208999753,2023
DC 3,0.7634999752,2023
DC 4,0.7911999822,2023
DC 19,0.4056999981,2023
DC 5,0.6980999708,2023
NA,0.7358999848,2023
DC 6,0.6737999916,2023
DC 18,0.4914999902,2023
DC 7,0.574000001,2023
DC 8,0.6359000206,2023
DC 15,0.6409999728,2023
DC 16,0.6632000208,2023
DC 9,0.7092999816,2023
DC 10,0.5730000138,2023
DC 14,0.4596000016,2023
BR 1,0.7541000247,2023
BR 2,0.4718999863,2023
BR 3,0.7153999805,2023
BR 4,0.7045000196,2023
BR 5,0.7274000049,2023
BR 6,0.7233999968,2023
BR 7,0.662800014,2023
BR 9,0.7328000069,2023
BR 11,0.5117999911,2023
BR 12,0.3689999878,2023
BAFB 1C,0.40169999,2023
BAFB 2B,0.4147000015,2023
BAFB 3C,0.3952000141,2023
BR 13,0.41080001,2023
BR 8,0.4889999926,2023
DC 1,0.8518000245,2024
DC 2,0.7961999774,2024
DC 13,0.8057000041,2024
DC 12,0.7961999774,2024
DC 11,0.7275999784,2024
DC 17,0.6509000063,2024
DC 3,0.6625000238,2024
DC 4,0.7807999849,2024
DC 19,0.4011000097,2024
DC 5,0.6462000012,2024
NA,0.7153999805,2024
DC 6,0.6692000031,2024
DC 18,0.4496000111,2024
DC 7,0.5299999714,2024
DC 8,0.5550000072,2024
DC 15,0.5504000187,2024
DC 16,0.5978000164,2024
DC 9,0.6662999988,2024
DC 10,0.4659999907,2024
DC 14,0.4932999909,2024
BR 1,0.7156999707,2024
BR 2,0.5109999776,2024
BR 3,0.7487999797,2024
BR 4,0.7131999731,2024
BR 5,0.6891000271,2024
BR 6,0.6988000274,2024
BR 7,0.550999999,2024
BR 9,0.7188000083,2024
BR 11,0.4914000034,2024
BR 12,0.2994999886,2024
BAFB 1C,0.3639000058,2024
BAFB 2B,0.3427999914,2024
BAFB 3C,0.3556999862,2024
BR 13,0.3404999971,2024
BR 8,0.5159999728,2024
